,smiles,property,value
1549,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O[*],Egc,6.3052
1550,[*]OC(C)CCCCC([*])=O,Egc,6.5026
1551,[*]CCC(=O)N[*],Egc,5.6558
1552,[*]CCCCCC(=O)N[*],Egc,5.9862
1553,[*]CCCCCCNC(=O)CCCCCC(=O)N[*],Egc,5.936
1554,[*]CCCCCCNC(=O)CCCCCCC(=O)N[*],Egc,5.7328
1555,[*]CCCCCCNC(=O)CCCCCCCC(=O)N[*],Egc,5.6457
1556,[*]CCCCCCNC(=O)CCCCCCCCC(=O)N[*],Egc,6.0268
1557,[*]CCCCCCNC(=O)CCCCCCCCCCC(=O)N[*],Egc,5.7224
1558,[*]CCCCCCC(=O)N[*],Egc,6.0436
1559,[*]CCCCCCCC(=O)N[*],Egc,6.0401
1560,[*]CCCCCCCCNC(=O)CCCCCCCCC(=O)N[*],Egc,5.7713
1561,[*]CCCCCCCCNC(=O)CCCCCCCCCCC(=O)N[*],Egc,5.8323
1562,[*]CCCCCCCCC(=O)N[*],Egc,6.101
1563,[*]CCCCCCCCCNC(=O)CCCCC(=O)N[*],Egc,5.6864
1564,[*]CCCCCCCCCC(=O)N[*],Egc,6.1321
1565,[*]CCCCCCCCCCC(=O)N[*],Egc,6.0098
1566,[*]CCCCCCCCCCCC(=O)N[*],Egc,6.0986
1567,[*]CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N[*],Egc,5.9072
1568,[*]CCCCCCCCCCCCC(=O)N[*],Egc,6.0892
1569,[*]NC1CCC(CC2CCC(NC(=O)CCCCC([*])=O)CC2)CC1,Egc,5.6991
1570,[*]CCCP(CCCNC(=O)CCCCC(=O)N[*])CC(C)C,Egc,5.1348
1571,[*]OC(=O)c1ccc(C(=O)NCNC(=O)c2ccc(C([*])=O)cc2)cc1,Egc,4.0657
1572,[*]CCCCCCCCCCNC(=O)CCCCC(=O)N[*],Egc,5.8086
1573,[*]CCCCCCCCCCNC(=O)CCCCCCCCC(=O)N[*],Egc,5.9125
1574,[*]CC1CCC(CNC(=O)c2cc(C(=O)N[*])cc(C(C)(C)C)c2)CC1,Egc,4.8744
1575,[*]NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC([*])=O)CC2)CC1,Egc,5.7012
1576,[*]NC1CCC(CC2CCC(NC(=O)CCCCCCCCC([*])=O)CC2)CC1,Egc,5.8072
1577,[*]Nc1ccc(-c2ccc(NC(=O)c3cccc(C([*])=O)c3)cc2)cc1,Egc,3.4939
1578,[*]CCCCCCNC(=O)c1cccc(C(=O)N[*])c1,Egc,5.0813
1579,[*]CC1CCC(CNC(=O)c2cccc(C(=O)N[*])c2)CC1,Egc,4.9032
1580,[*]CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N[*])c1,Egc,4.994
1581,[*]CCCC(C)(C)CNC(=O)c1cccc(C(=O)N[*])c1,Egc,5.0204
1582,[*]CC1CC(CNC(=O)c2cccc(C(=O)N[*])c2)CC(C(C)(C)C)C1,Egc,4.8842
1583,[*]CC1CCCC(CNC(=O)c2cccc(C(=O)N[*])c2)C1,Egc,4.8123
1584,[*]CCCCCCCCNC(=O)Cc1ccc(CC(=O)N[*])cc1,Egc,5.1086
1585,[*]CCCCCCNC(=O)CCP(=S)(CCC(=O)N[*])c1ccccc1,Egc,4.6741
1586,[*]CCCCCCNC(=O)CCP(=O)(CCC(=O)N[*])c1ccccc1,Egc,4.8862
1587,[*]NC1CC(C)(C)CC(C)(CNC(=O)CCCCC([*])=O)C1,Egc,5.6216
1588,[*]Cc1ccc(CNC(=O)CCCCCCCCCCC(=O)N[*])cc1,Egc,5.2323
1589,[*]Cc1ccc(CNC(=O)CCCCCCCCCCCCCC(=O)N[*])cc1,Egc,5.2897
1590,[*]NC(C)(C)CC([*])=O,Egc,5.5484
1591,[*]CCCC(C)(C)CNC(=O)CCCCC(=O)N[*],Egc,5.8218
1592,[*]CCC(C)(C)CC(C)CNC(=O)CCCCC(=O)N[*],Egc,5.8095
1593,[*]Nc1cccc2c(NC(=O)c3cccc(C([*])=O)c3)cccc12,Egc,3.1462
1594,[*]Nc1cccc(NC(=O)c2cccc(C([*])=O)c2)c1,Egc,4.1202
1595,[*]Nc1ccc(NC(=O)c2cccc(C([*])=O)c2)cc1,Egc,3.551
1596,[*]Nc1ccc(NC(=O)c2ccc(C([*])=O)cc2)cc1,Egc,3.2673
1597,[*]Nc1ccc(-c2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,Egc,3.3951
1598,[*]CCCC(CCNC(=O)c1ccc(C(=O)N[*])cc1)C(C)C,Egc,4.6978
1599,[*]CCCCCCCNC(=O)c1ccc(C(=O)N[*])cc1,Egc,4.6365
1600,[*]Nc1ccc(Cc2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)cc1,Egc,3.2294
1601,[*]CCCCCCCCCNC(=O)CCCCCCCC(=O)N[*],Egc,5.928
1602,[*]CCCCCCCCNC(=O)CCCCCCC(=O)N[*],Egc,5.7761
1603,[*]CC(=O)N[*],Egc,6.0823
1604,[*]NC(CCC(=O)OC)C([*])=O,Egc,5.9283
1605,[*]CCCCNC(=O)CCC=CCCC(=O)N[*],Egc,5.5356
1606,[*]C(=O)CCCCCCCCC(=O)N1CCN([*])CC1,Egc,5.5924
1607,[*]C(=O)CCCCC(=O)N1CCN([*])CC1,Egc,5.6091
1608,[*]CCCCCCNC(=O)CCC=CCCC(=O)N[*],Egc,5.6458
1609,[*]CCCCCCCCCCCCNC(=O)C(=O)N[*],Egc,5.7269
1610,[*]CCCCCCCCCCNC(=O)CCC=CCCC(=O)N[*],Egc,5.6731
1611,[*]CCCCCCCCCCNC(=O)CCCCCCCC(=O)N[*],Egc,5.9559
1612,[*]CC(C)(C)C(=O)N[*],Egc,5.6887
1613,[*]CCCCC(C)CC(=O)N[*],Egc,6.0469
1614,[*]CCCC(C)CCC(=O)N[*],Egc,5.9091
1615,[*]CC(C)CCCCC(=O)N[*],Egc,6.0272
1616,[*]NC(C)CC([*])=O,Egc,5.711
1617,[*]CCCC(=O)N[*],Egc,5.5236
1618,[*]CCCC(C)CC(=O)N[*],Egc,6.0894
1619,[*]CCCCC(=O)N[*],Egc,5.9658
1620,[*]CCCCCCCCCCCCCCCCC(=O)N[*],Egc,6.0239
1621,[*]CNC(=O)CCCCC(=O)N[*],Egc,6.0289
1622,[*]CNC(=O)CCCCCCCCC(=O)N[*],Egc,6.1742
1623,[*]CCNC(=O)CCCCC(=O)N[*],Egc,5.8254
1624,[*]CCNC(=O)CCCCCCCCC(=O)N[*],Egc,5.9828
1625,[*]CCNC(=O)CCCCCCCCCCC(=O)N[*],Egc,5.5657
1626,[*]CCCCNC(=O)CCCCCC(=O)N[*],Egc,5.7771
1627,[*]CCCCNC(=O)CCCCCCC(=O)N[*],Egc,6.0697
1628,[*]CCCCNC(=O)CCCCCCCC(=O)N[*],Egc,5.9048
1629,[*]CCCCNC(=O)CCCCCCCCCC(=O)N[*],Egc,5.9628
1630,[*]CCCCNC(=O)CCCCCCCCCCC(=O)N[*],Egc,5.9492
1631,[*]CCCCCNC(=O)CC(=O)N[*],Egc,5.7523
1632,[*]CCCCCNC(=O)CCCCCC(=O)N[*],Egc,5.9272
1633,[*]CCCCCNC(=O)CCCCCCC(=O)N[*],Egc,5.9286
1634,[*]CCCCCNC(=O)CCCCCCCCC(=O)N[*],Egc,5.6828
1635,[*]CCCCCNC(=O)CCCCCCCCCCCCC(=O)N[*],Egc,5.8927
1636,[*]CCCCCCNC(=O)CCCC(=O)N[*],Egc,5.7154
1637,[*]CCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N[*],Egc,5.8888
1638,[*]CCCCCCCNC(=O)CCCCCCCC(=O)N[*],Egc,5.8296
1639,[*]CCCCCCCNC(=O)CCCCCCCCCC(=O)N[*],Egc,5.7365
1640,[*]CCCCCCCCNC(=O)CCCCCCCCCCCCC(=O)N[*],Egc,5.9612
1641,[*]CCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCC(=O)N[*],Egc,5.8607
1642,[*]CCCCCCCCCNC(=O)CCCCCC(=O)N[*],Egc,5.9578
1643,[*]CCCCCCCCCNC(=O)CCCCCCCCC(=O)N[*],Egc,5.6744
1644,[*]CCCCCCCCCNC(=O)CCCCCCCCCC(=O)N[*],Egc,5.9794
1645,[*]CCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)N[*],Egc,5.7342
1646,[*]CCCCCCCCCCNC(=O)CCCCCCC(=O)N[*],Egc,5.9989
1647,[*]CCCCCCCCCCNC(=O)CCCCCCCCCCCCC(=O)N[*],Egc,5.8204
1648,[*]CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N[*],Egc,5.9174
1649,[*]CCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N[*],Egc,5.7824
1650,[*]CCCCCCCCCCCNC(=O)CCCCC(=O)N[*],Egc,6.1376
1651,[*]CCCCCCCCCCCNC(=O)CCCCCCCCC(=O)N[*],Egc,5.9682
1652,[*]CCCCCCCCCCCCNC(=O)CCCCC(=O)N[*],Egc,5.5516
1653,[*]CCCCCCCCCCCCNC(=O)CCCCCCCCC(=O)N[*],Egc,5.9688
1654,[*]CCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N[*],Egc,5.9644
1655,[*]CCCCCCCCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N[*],Egc,5.927
1656,[*]CCCCCCCCCCCCCCNC(=O)CCCCCCCCC(=O)N[*],Egc,5.9115
1657,[*]CCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N[*],Egc,5.9384
1658,[*]CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC(=O)N[*],Egc,5.6172
1659,[*]NC(C)C(C)C([*])=O,Egc,6.1482
1660,[*]Nc1cccc(C([*])=O)c1,Egc,4.1556
1661,[*]Nc1ccc(C([*])=O)cc1,Egc,3.7503
1662,[*]CCCNC(=O)CCC=CCCC(=O)N[*],Egc,5.7523
1663,[*]CC=CCNC(=O)CCC=CCCC(=O)N[*],Egc,5.3865
1664,[*]CCCCCCCCNC(=O)CCC=CCCC(=O)N[*],Egc,5.2366
1665,[*]CCCCCCCCCCNC(=O)C(C)=C(C)C(=O)N[*],Egc,4.9889
1666,[*]Cc1ccc(C(=O)N[*])cc1,Egc,5.0419
1667,[*]NC1CC(CCC([*])=O)C1(C)C,Egc,5.7546
1668,[*]CCCCCCCCCNC(=O)CCC=CCCC(=O)N[*],Egc,5.6551
1669,[*]CCCCCCNC(=O)C1CC1(C)C(=O)N[*],Egc,6.1739
1670,[*]CCCCCCCCCCCNC(=O)c1ccc(C(=O)N[*])cc1,Egc,4.9311
1671,[*]CC1CCC(CNC(=O)CCCC(=O)N[*])CC1,Egc,6.0036
1672,[*]CC1CCC(CNC(=O)CCCCCC(=O)N[*])CC1,Egc,5.787
1673,[*]CC1CCC(CNC(=O)CCCCCCC(=O)N[*])CC1,Egc,5.8707
1674,[*]CC1CCC(CNC(=O)CCCCCCCC(=O)N[*])CC1,Egc,5.7062
1675,[*]CC1CCC(CNC(=O)CCCCCCCCC(=O)N[*])CC1,Egc,5.7331
1676,[*]CC1CCC(CNC(=O)CCCCCCCCCCC(=O)N[*])CC1,Egc,5.9594
1677,[*]NC1CCC(CCC2CCC(NC(=O)CCCCCCCCCCC([*])=O)CC2)CC1,Egc,5.7235
1678,[*]Nc1ccc(NC(=O)CCCCC([*])=O)cc1,Egc,4.5219
1679,[*]Nc1cccc(NC(=O)CCCCCCC([*])=O)c1,Egc,4.8656
1680,[*]Nc1ccc(NC(=O)CCCCCCC([*])=O)cc1,Egc,4.498
1681,[*]Nc1ccc(NC(=O)CCCCCCCCC([*])=O)cc1,Egc,4.5375
1682,[*]Cc1ccc(CNC(=O)c2cccc(C(=O)N[*])c2)cc1,Egc,4.6753
1683,[*]CCC(=O)N([*])C,Egc,5.368
1684,[*]CCCCCCCCCCC(=O)N([*])C,Egc,5.7405
1685,[*]CCCCCCCCCCCC(=O)N([*])C,Egc,5.8019
1686,[*]CCC(=O)N(CCN(C(=O)CCN1CCN([*])CC1)C(C)C)C(C)C,Egc,4.3463
1687,[*]C(=O)CCN(C)CCN(C)CCC(=O)N1CCN([*])CC1,Egc,4.9845
1688,[*]C(=O)C1CC(OC(C)=O)CN1[*],Egc,4.1614
1689,[*]C(=O)C1CCCN1[*],Egc,5.5773
1690,[*]NC(CCCCN)C([*])=O,Egc,5.1712
1691,[*]C(=O)CNC(=O)C1CCCN1C(=O)C1CCCN1[*],Egc,5.248
1692,[*]NC(CSC(=O)OCc1ccccc1)C([*])=O,Egc,5.0387
1693,[*]NC(CC(=O)OCCC)C([*])=O,Egc,5.0074
1694,[*]NC(CC(=O)OCc1ccc(Cl)cc1)C([*])=O,Egc,5.1636
1695,[*]C(=O)C(C)NC(=O)CNC(=O)C1CCCN1[*],Egc,5.7716
1696,[*]NC(C)C(=O)NCC(=O)NCC(=O)NCC([*])=O,Egc,5.9084
1697,[*]NC(C)C(=O)NCC([*])=O,Egc,5.7945
1698,[*]NC(C)C(=O)NC(CCC(=O)OCC)C(=O)NCC([*])=O,Egc,5.3361
1699,[*]NC(C)C(=O)NC(C)C(=O)NCC([*])=O,Egc,5.7884
1700,[*]NC(C)C([*])=O,Egc,6.0729
1701,[*]C(=O)NCCCCCCCCCCNC(=O)c1ccc([*])nc1,Egc,4.5311
1702,[*]C(=O)NCCCCCCNC(=O)c1ccc([*])nc1,Egc,4.574
1703,[*]C(=O)NCCCCCCNC(=O)c1cccc([*])n1,Egc,4.786
1704,[*]C(=O)NCCCCCCNC(=O)c1ccncc1[*],Egc,4.5298
1705,[*]C(=O)NCCCCCCNC(=O)c1cncc([*])c1,Egc,4.9388
1706,[*]C(=O)NCCCCCCNC(=O)c1cc([*])c(C)nc1C,Egc,5.2417
1707,[*]C(=O)NCCCCCCCCNC(=O)c1ccc([*])nc1,Egc,4.7836
1708,[*]C(=O)NCCCCCCCCNC(=O)c1cncc([*])c1,Egc,4.7551
1709,[*]CCCCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCO[*])cc1,Egc,5.2644
1710,[*]CCCCCC(=O)NCc1ccc(CNC(=O)CCCCO[*])cc1,Egc,5.142
1711,[*]CCCCCCC(=O)NCCCCCCNC(=O)CCCO[*],Egc,5.9827
1712,[*]CCCCCCCCCCC(=O)NCCCCCCNC(=O)CCCCO[*],Egc,5.9843
1713,[*]CCCCCCCCCCC(=O)NCCCCCCNC(=O)CCCO[*],Egc,6.0291
1714,[*]CCCCC(=O)NCCCCCCNC(=O)CCCO[*],Egc,5.9543
1715,[*]CCCCCCCCC(=O)NCCCCCCNC(=O)CCCO[*],Egc,5.9837
1716,[*]CCCCCCNC(=O)C(=O)N[*],Egc,5.1495
1717,[*]NNC(=O)CCCCCCCCC([*])=O,Egc,6.0464
1718,[*]NNC(=O)CCCCC([*])=O,Egc,5.6711
1719,[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,Egc,4.6128
1720,[*]C(=O)CCN1CCN(CCC(=O)N2CCN([*])C(C)C2)CC1,Egc,4.9509
1721,[*]C(=O)CCC=CCCC(=O)N1CCN([*])CC1,Egc,5.4878
1722,[*]C(=O)c1cccc(C(=O)N2CCN([*])CC2)c1,Egc,4.7816
1723,[*]C(=O)C1CC1C(=O)N1CCN([*])CC1,Egc,5.7206
1724,[*]CCOCC(=O)NCCNC(=O)CO[*],Egc,5.9751
1725,[*]Nc1ccc(CC(C)(C)NC(=O)CCCCCCCCC([*])=O)cc1,Egc,4.455
1726,[*]NC(C)C(=O)NC(C)C(=O)NC(C(=O)NC(C([*])=O)C(C)C)C(C)C,Egc,5.7985
1727,[*]NC(C)C(=O)NCCCC([*])=O,Egc,5.7766
1728,[*]CC(C)C(=O)N[*],Egc,6.0647
1729,[*]NC(CSSCc1ccccc1)C([*])=O,Egc,4.9511
1730,[*]CCC(=O)NCC(=O)N[*],Egc,6.1234
1731,[*]C(=O)C(NC(=O)C1CCCN1C(=O)C1CCCN1[*])c1ccccc1,Egc,5.0377
1732,[*]NC(C([*])=O)C(Cc1ccccc1)c1c[nH]cn1,Egc,4.764
1733,[*]NC(C([*])=O)C(C)CC,Egc,5.462
1734,[*]NC(CC(C)C)C([*])=O,Egc,6.106
1735,[*]NC(COC(C)=O)C([*])=O,Egc,5.9781
1736,[*]NC(Cc1ccc(OC(=O)OCc2ccccc2)cc1)C([*])=O,Egc,4.9567
1737,[*]NC1CCCC1C([*])=O,Egc,5.8804
1738,[*]CC(C)(CCCC)C(=O)N[*],Egc,6.0622
1739,[*]CC(C)(CC)C(=O)N[*],Egc,5.7057
1740,[*]CC(C)(CCC)C(=O)N[*],Egc,5.8261
1741,[*]C(=O)NC1CCCC([*])O1,Egc,6.2047
1742,[*]CC1CCCC(CNC(=O)CCCCCCCCCCC(=O)N[*])C1,Egc,5.83
1743,[*]CC1CCCC(CNC(=O)CCCCCCC(=O)N[*])C1,Egc,5.9323
1744,[*]CNC(=O)CC(=O)N[*],Egc,6.3692
1745,[*]NC(CC(=O)OCc1ccccc1)C([*])=O,Egc,5.316
1746,[*]NC(CCC(=O)OCCCC)C([*])=O,Egc,5.5734
1747,[*]NC(CCC(=O)OCc1ccc(Cl)cc1)C([*])=O,Egc,5.2897
1748,[*]NC(CCC(=O)OCCCl)C([*])=O,Egc,5.9169
1749,[*]NC(CCC(=O)OCCC)C([*])=O,Egc,5.8843
1750,[*]CCCCCCCCCCNC(=O)CCP(C)(=O)CCC(=O)N[*],Egc,5.8056
1751,[*]CCCCCCCCCCCCNC(=O)CCP(C)(=O)CCC(=O)N[*],Egc,5.7027
1752,[*]NC(C)CCCCC([*])=O,Egc,5.5854
1753,[*]CCCCCCCCCCCCCCCCCCCCCC(=O)N[*],Egc,5.9891
1754,[*]NNC(=O)C(=O)NNC(=O)CCCCCCCC([*])=O,Egc,4.4307
1755,[*]NC1CC1NC(=O)C1CC1C([*])=O,Egc,5.9042
1756,[*]CCCCCCNC(=O)CCCCC(=O)NCCCCCCNC(=O)C(=O)N[*],Egc,5.2635
1757,[*]CCCCCCNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N[*],Egc,5.992
1758,[*]CCCCCCNC(=O)C(CCCCCCCCCCCCCCCC)C(=O)N[*],Egc,6.0328
1759,[*]CCCCCCNC(=O)C(CCCCCCCCCCCCCCC)C(=O)N[*],Egc,5.9375
1760,[*]CCCCCCNC(=O)C(CCCCC)C(=O)N[*],Egc,5.7089
1761,[*]NNC(=O)c1cccc(C(=O)NNC(=S)c2cccc(C([*])=S)c2)c1,Egc,3.2068
1762,[*]CCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N[*],Egc,5.9457
1763,[*]CCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N[*],Egc,5.7457
1764,[*]CCCCCNC(=O)CCCCCCCCCCCCCCCCC(=O)N[*],Egc,5.855
1765,[*]CCCCCNC(=O)CCCCCCCCC(=O)NCCCCCNC(=O)C(=O)N[*],Egc,5.7501
1766,[*]Nc1ccc(NC(=O)CCCCCCCC([*])=O)cc1,Egc,4.5152
1767,[*]Nc1ccc(NC(=O)CCCC([*])=O)cc1,Egc,3.9291
1768,[*]NNC(=O)c1ccc(C(=O)NNC(=S)c2cccc(C([*])=S)c2)cc1,Egc,3.5899
1769,[*]CCCCNC(=O)CCCCCCCC(=O)NCCCCNC(=O)C(=O)N[*],Egc,5.3591
1770,[*]CCCCNC(=O)c1cccc(C(=O)N[*])c1,Egc,5.1173
1771,[*]CCCCNC(=O)CCCCCCC(=O)NCCCCNC(=O)C(=O)N[*],Egc,4.7855
1772,[*]CCCNC(=O)CCCCCCCC(=O)NCCCNC(=O)C(=O)N[*],Egc,4.7768
1773,[*]CCCNC(=O)CCCCCCCCC(=O)NCCCNC(=O)C(=O)N[*],Egc,5.3556
1774,[*]Cc1ccc(CNC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)N[*])cc1,Egc,5.5873
1775,[*]Cc1ccc(CNC(=O)CCCCCCCCCCCCCCCC(=O)N[*])cc1,Egc,5.288
1776,[*]CCCCCCc1nc2cc(NC(=O)CCCCCCCCC(=O)Nc3ccc4oc([*])nc4c3)ccc2o1,Egc,4.6818
1777,[*]Nc1ccc(NC(=O)CCCCCC([*])=O)cc1,Egc,4.5224
1778,[*]CCCCCCCCCCCCCCCCCC(=O)N[*],Egc,6.0841
1779,[*]CCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N[*],Egc,5.7103
1780,[*]NC(Cc1ccccc1)C([*])=O,Egc,5.5152
1781,[*]Nc1ccc(-c2ccc(NC(=O)c3cc(C([*])=O)cc(S(=O)(=O)c4ccccc4)c3)cc2)cc1,Egc,3.1781
1782,[*]Oc1ccc(NC(=O)c2cc(C(=O)Nc3ccc([*])cc3)cc(S(=O)(=O)c3ccccc3)c2)cc1,Egc,3.3682
1783,[*]CCCCCCNC(=O)CCCCC(=O)NCC(=O)N[*],Egc,5.8188
1784,[*]Nc1c(C)c(C)c(C(=O)c2ccc(NC(=O)c3ccc(C([*])=O)cc3)cc2)c(C)c1C,Egc,3.4801
1785,[*]Nc1ccc(C(=O)c2c(C)c(C)c(C(=O)c3ccc(NC(=O)c4ccc(C([*])=O)cc4)cc3)c(C)c2C)cc1,Egc,3.4851
1786,[*]NNC(=S)c1ccc(C([*])=S)cc1,Egc,3.4154
1787,[*]CCCCCNC(=O)O[*],Egc,6.3761
1788,[*]C(=O)OC1CCN([*])CC1,Egc,5.5791
1789,[*]OC1CCC(NC([*])=O)CC1,Egc,6.28
1790,[*]CCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.1814
1791,[*]CCOC(=O)NCCCCCCCCCNC(=O)O[*],Egc,6.3118
1792,[*]CCOC(=O)NCCCCCCCCCCNC(=O)O[*],Egc,6.2273
1793,[*]CCCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.2372
1794,[*]CCCCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.3532
1795,[*]CCCCOC(=O)NC1CC1NC(=O)O[*],Egc,6.3078
1796,[*]CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],Egc,6.932
1797,[*]CCCCCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.4123
1798,[*]CCCCCOC(=O)NC1CC1NC(=O)O[*],Egc,6.2104
1799,[*]CCCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],Egc,6.5795
1800,[*]CCCCCCOC(=O)NCCCNC(=O)O[*],Egc,6.0865
1801,[*]CCCCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],Egc,6.7703
1802,[*]CCCCCCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.343
1803,[*]CCCCCCCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.2664
1804,[*]CCCCCCCCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.1519
1805,[*]CCCCCCCCOC(=O)NCCCCCCCCCCNC(=O)O[*],Egc,6.1384
1806,[*]CCCCCCCCCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.2165
1807,[*]CCCCCCCCCCOC(=O)NCCCCCCCCCCNC(=O)O[*],Egc,6.2681
1808,[*]CCCCCCCCCCCCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.1958
1809,[*]CCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(=O)O[*],Egc,6.2416
1810,[*]CCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCCCNC(=O)O[*],Egc,6.3322
1811,[*]CC1CC1COC(=O)NCCCCCCNC(=O)O[*],Egc,6.2321
1812,[*]CC1CC1COC(=O)NC1CC1NC(=O)O[*],Egc,6.5515
1813,[*]C(=O)OCC1CC1COC(=O)N1CCN([*])CC1,Egc,5.9115
1814,[*]CC#CCOC(=O)NCCCCCCNC(=O)O[*],Egc,6.3946
1815,[*]CC(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O[*],Egc,6.4212
1816,[*]CC(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],Egc,7.202
1817,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O[*],Egc,6.3766
1818,[*]CC(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],Egc,6.897
1819,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O[*],Egc,6.4368
1820,[*]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O[*],Egc,6.8832
1821,[*]CCOC(=O)Nc1cc(NC(=O)O[*])ccc1C,Egc,5.1142
1822,[*]CCCOC(=O)Nc1cc(NC(=O)O[*])ccc1C,Egc,5.0413
1823,[*]CCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,Egc,4.832
1824,[*]CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,Egc,5.0895
1825,[*]CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,Egc,5.2905
1826,[*]CCCCCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,Egc,4.9708
1827,[*]CCCCCCCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,Egc,5.0994
1828,[*]CCCCOC(=O)NCc1ccc(CNC(=O)O[*])cc1,Egc,5.6759
1829,[*]CCCCCCCCOC(=O)NCc1ccc(CNC(=O)O[*])cc1,Egc,5.5232
1830,[*]CCCCCCCCCCOC(=O)NCc1ccc(CNC(=O)O[*])cc1,Egc,5.628
1831,[*]CCCCCCCCCCCCOC(=O)NCc1ccc(CNC(=O)O[*])cc1,Egc,5.664
1832,[*]CCCCCCCCCCCCCCCCOC(=O)NCc1ccc(CNC(=O)O[*])cc1,Egc,5.353
1833,[*]Cc1cc(COC(=O)Nc2ccc(Cc3ccc(NC(=O)O[*])cc3)cc2)cc(C(C)(C)C)c1,Egc,4.7039
1834,[*]CCOC(=O)NCCNC(=O)O[*],Egc,6.1962
1835,[*]CCOC(=O)NCCC(C)NC(=O)O[*],Egc,6.4089
1836,[*]CC(C)(C)COC(=O)NCCNC(=O)O[*],Egc,6.4914
1837,[*]CCCCOC(=O)NCCNC(=O)O[*],Egc,6.2788
1838,[*]CCOC(=O)NCCCC(CCNC(=O)O[*])OC,Egc,5.8395
1839,[*]CC(C)(C)COC(=O)NCCCC(CCNC(=O)O[*])OC,Egc,6.1723
1840,[*]CC=CCOC(=O)NCCCCCCNC(=O)O[*],Egc,5.7218
1841,[*]OC1CCC(OC(=O)NCCNC([*])=O)CC1,Egc,6.0582
1842,[*]CCOC(=O)NC1CCC(NC(=O)O[*])CC1,Egc,6.3209
1843,[*]C(=O)OCCOC(=O)N1CCN([*])CC1,Egc,5.8752
1844,[*]CCOC(=O)Nc1ccc(NC(=O)O[*])cc1,Egc,4.8391
1845,[*]CCOC(=O)Nc1cccc(NC(=O)O[*])c1,Egc,5.098
1846,[*]C(=O)OCCOC(=O)N1CC(C)N([*])CC1C,Egc,5.9632
1847,[*]CCOC(=O)N(C)c1ccc(C)c(N(C)C(=O)O[*])c1,Egc,5.1683
1848,[*]C(=O)OCC(C)(C)COC(=O)N1CCN([*])CC1,Egc,5.8163
